StatusDate,CustomerCount,State,Status
2009-01-12,495,NY,2
2009-01-26,740,NY,1
2009-05-04,930,NY,2
2009-06-15,234,NY,3
2009-08-10,208,NY,1
2009-08-17,364,NY,3
2009-09-28,708,NY,1
2009-11-09,341,NY,2
2009-12-14,741,NY,1
2009-12-21,937,NY,2
2010-01-11,511,NY,3
2010-01-18,679,NY,3
2010-01-25,505,NY,2
2010-02-01,636,NY,3
2010-02-08,879,NY,2
2010-03-15,379,NY,3
2010-03-29,802,NY,3
2010-04-12,510,NY,1
2010-06-28,57,NY,1
2010-07-12,425,NY,3
2010-07-19,957,NY,1
2010-09-06,48,NY,3
2010-09-20,290,NY,1
2010-12-13,401,NY,1
2011-03-14,351,NY,3
2011-03-28,468,NY,2
2011-05-09,821,NY,3
2011-05-16,627,NY,1
2011-06-06,246,NY,1
2011-06-13,535,NY,2
2011-06-20,800,NY,1
2011-08-15,830,NY,1
2011-10-03,306,NY,1
2012-01-09,173,NY,2
2012-03-05,483,NY,3
2012-03-26,674,NY,2
2012-04-09,322,NY,2
2012-04-16,552,NY,3
2012-04-23,333,NY,3
2012-08-27,456,NY,3
2012-10-29,212,NY,1
2012-12-17,808,NY,3
2009-03-09,280,NY,3
2009-05-18,331,NY,2
2009-06-08,216,NY,3
2009-09-07,438,NY,3
2009-09-21,718,NY,1
2009-11-02,182,NY,3
2009-12-14,906,NY,1
2010-01-25,772,NY,2
2010-04-12,612,NY,2
2010-08-02,87,NY,1
2010-11-15,447,NY,3
2010-12-06,906,NY,1
2011-01-31,966,NY,2
2011-02-07,560,NY,1
2011-04-04,774,NY,2
2011-04-25,791,NY,3
2011-05-02,387,NY,2
2011-06-20,32,NY,2
2011-08-08,62,NY,3
2011-10-24,479,NY,3
2011-11-14,974,NY,3
2011-12-05,935,NY,1
2011-12-12,807,NY,2
2011-12-26,670,NY,3
2012-01-02,511,NY,3
2012-01-30,623,NY,1
2012-03-19,45,NY,3
2012-04-23,34,NY,1
2012-06-18,483,NY,3
2012-07-02,281,NY,3
2012-07-30,859,NY,1
2012-08-20,851,NY,3
2012-09-24,251,NY,2
2012-11-19,526,NY,2
2012-12-03,468,NY,1
2009-02-09,273,NY,3
2009-03-02,193,NY,2
2009-04-27,373,NY,2
2009-05-18,974,NY,1
2009-06-15,845,NY,2
2010-01-04,131,NY,2
2010-02-15,625,NY,1
2010-02-22,853,NY,3
2010-04-05,758,NY,3
2010-05-17,555,NY,2
2010-05-31,589,NY,3
2010-07-05,600,NY,3
2010-08-02,182,NY,3
2010-08-30,956,NY,2
2010-11-15,329,NY,2
2010-11-29,82,NY,2
2010-12-13,357,NY,3
2010-12-20,646,NY,3
2010-12-27,556,NY,1
2011-04-04,349,NY,3
2011-04-25,277,NY,2
2011-05-09,798,NY,3
2011-08-22,203,NY,2
2011-09-12,297,NY,1
2011-10-17,170,NY,2
2011-11-28,503,NY,2
2012-02-13,144,NY,2
2012-05-14,664,NY,3
2012-09-03,749,NY,1
2012-09-17,105,NY,2
2012-10-01,259,NY,2
2012-11-19,681,NY,1
2012-12-17,931,NY,1
2012-12-31,952,NY,3
2009-01-19,789,NY,1
2009-02-16,77,NY,3
2009-08-03,556,NY,2
2009-08-10,101,NY,2
2009-09-14,106,NY,1
2009-10-12,536,NY,2
2009-11-09,591,NY,2
2010-01-04,649,NY,1
2010-02-08,570,NY,3
2010-03-08,270,NY,1
2010-06-14,62,NY,3
2010-07-26,758,NY,1
2010-11-01,165,NY,2
2011-01-10,982,NY,3
2011-01-17,739,NY,2
2011-02-21,206,NY,2
2011-03-14,729,NY,2
2011-04-11,857,NY,1
2011-04-25,81,NY,1
2011-05-02,590,NY,2
2011-06-06,774,NY,1
2011-09-12,260,NY,2
2011-10-03,221,NY,3
2011-11-07,932,NY,1
2011-12-19,127,NY,3
2012-01-02,238,NY,2
2012-01-23,968,NY,2
2012-02-20,500,NY,1
2012-07-23,356,NY,2
2012-08-27,898,NY,3
2012-12-03,343,NY,3
2012-12-10,215,NY,2
